zipcode,number_of_violations
10037,139
10065,763
10069,8
10453,416
10013,2451
10451,546
10457,348
10456,342
10455,352
10454,372
10105,3
10104,13
10459,272
10458,813
11232,456
10103,3
11204,528
11233,331
11385,1019
11234,579
11235,682
11222,841
11237,971
10057,6
10285,2
10282,54
10280,23
10281,76
10118,13
10119,46
10112,43
10110,2
10111,8
11109,48
11379,166
11378,306
10452,483
11375,804
11374,405
11377,777
11101,1154
11106,589
11370,62
11104,418
11372,1562
11102,331
11223,706
11103,830
10048,1
11229,577
10040,338
11371,61
10029,973
10044,18
11201,1492
11203,592
10128,691
11205,594
11373,901
11207,567
11206,646
11209,1091
11208,484
10121,109
11105,564
11225,577
11224,227
11368,1158
11369,206
11366,227
11367,202
11364,179
11365,134
11362,244
11363,38
11360,97
11361,475
10020,129
10123,4
10021,624
11040,96
11212,481
11213,488
11210,288
11211,1418
11216,555
11217,995
11214,892
11215,1318
10035,367
10034,518
11218,670
10036,2196
10031,544
10030,186
10033,469
10032,549
11001,9
11358,598
11005,21
11004,101
11697,14
11694,179
11357,228
11356,194
11355,809
11354,1553
10039,142
11451,8
10038,656
10168,9
10309,230
10308,205
10307,84
10306,409
10305,446
10304,131
10303,80
10302,255
10301,396
10028,837
11228,195
10026,433
10027,755
10024,754
10025,1165
10022,1758
10023,648
11221,452
11220,1614
11219,406
10169,43
10270,3
11429,91
11428,194
10166,2
11421,379
11420,322
11423,85
11422,120
11427,109
11426,172
10153,3
10154,3
10310,244
10311,2
10312,306
10314,662
11231,576
11238,977
11239,54
10019,2427
10018,1358
10510,18
11230,515
10012,1669
10011,1815
10010,970
10017,1374
10016,1896
11236,599
10014,1589
11256,11
11352,14
11432,672
11433,116
11430,386
11436,75
11434,257
11435,414
10004,548
10005,217
10006,165
10007,535
10001,1805
10002,1953
10003,2906
10167,5
11692,27
10165,1
10009,1221
10279,11
11693,120
10475,192
10474,131
10471,252
10470,162
10473,139
10472,454
11691,232
11249,484
11241,2
11242,10
10271,6
10107,3
11226,902
10178,2
10179,1
10075,372
10170,2
10171,2
10173,2
10174,9
10176,7
10466,358
10467,516
10464,165
10465,275
10462,603
10463,461
10460,183
10461,618
10468,493
10469,357
11411,98
11412,123
11413,184
11414,188
11415,195
11416,159
11417,331
11418,365
11419,412
10106,2
