zipcode,number of violations
10037,44
10065,285
10069,3
10453,234
10013,1190
10451,240
10457,191
10456,151
10455,212
11231,285
10104,18
10459,151
10458,370
11232,255
11204,265
11233,174
11385,549
11234,245
10016,978
11237,494
10304,123
11228,92
10282,35
10280,9
10281,39
10118,14
10119,33
10112,21
10110,2
10111,6
11109,6
11379,76
11378,145
10452,255
11375,436
11103,452
11377,497
11101,602
11106,310
11370,36
11373,560
11105,310
11102,161
11374,194
10027,333
11229,266
10040,134
11371,33
10454,185
10044,22
11201,770
11203,317
10128,379
11205,330
11104,260
11207,293
11206,314
11209,651
11208,180
10121,16
11372,807
11225,259
11224,89
11368,639
11369,99
11366,117
10022,936
11364,89
11365,125
11362,154
11363,14
11360,23
11361,217
11221,261
10123,2
10021,313
11212,289
11213,263
11210,155
11211,727
11216,369
11217,576
11214,440
11215,622
10035,138
10034,231
11218,368
11219,259
10031,180
10030,68
10033,255
10032,219
11001,4
11358,348
11005,1
11004,26
11697,2
11694,74
11357,124
11356,146
11355,514
11354,1065
10023,262
10039,24
10038,330
10309,90
10308,82
10307,28
10306,213
10305,179
11040,62
10303,69
10302,112
10301,228
10028,371
10029,383
10026,164
11226,427
10024,363
10025,374
11223,375
11222,345
10020,82
11220,773
10036,972
10169,32
10168,1
11429,45
11428,102
10166,3
11421,148
11420,137
11423,62
11422,82
11427,39
11426,54
10152,4
10153,3
10154,1
10310,136
10311,2
10312,181
10199,4
10314,308
11238,557
11239,44
10019,1124
10018,676
10271,6
11230,290
10012,706
10011,832
10010,508
10017,554
11235,374
11236,158
10014,726
11256,5
11352,2
11432,418
11433,44
11430,124
11436,35
11434,151
11435,237
10004,237
10005,107
10006,83
10007,204
10001,896
10002,1126
10003,1518
10167,1
11692,19
10165,6
10009,636
10279,3
11693,54
10475,107
10474,74
10471,83
10470,49
10473,42
10472,208
11691,82
11249,324
11241,3
11242,2
10107,1
10158,4
10075,135
10171,3
10172,2
10175,3
10466,179
10467,322
10464,50
10465,152
10462,184
10463,202
10460,89
10461,262
10468,229
10469,204
11411,17
11412,81
11413,96
11414,81
11415,58
11416,82
11417,152
11418,178
11419,259
10106,2
11367,104
